County ,Month,postcovid,inperson,remote,pip,MedianIncome
St. Lucie,Jan,0,987,204,82.87153652,"70,297.00"
Sumter,Jan,0,558,35,94.09780776,"59,618.00"
Suwannee,Jan,0,64,23,73.56321839,"46,280.00"
Taylor,Jan,0,39,15,72.22222222,"38,295.00"
Union,Jan,0,9,10,47.36842105,"55,139.00"
Volusia,Jan,0,1504,760,66.43109541,"52,407.00"
Wakulla,Jan,0,58,20,74.35897436,"67,480.00"
Walton,Jan,0,268,27,90.84745763,"67,390.00"
Washington,Jan,0,48,0,100,"37,260.00"
Alachua,Mar,1,396,76,83.89830508,"50,089.00"
Baker,Mar,1,39,6,86.66666667,"62,299.00"
Bay,Mar,1,457,43,91.4,"56,483.00"
Bradford,Mar,1,45,15,75,"43,580.00"
Brevard,Mar,1,1165,357,76.54402102,"59,359.00"
Broward,Mar,1,3091,1910,61.80763847,"60,922.00"
Calhoun,Mar,1,12,7,63.15789474,"38,037.00"
Charlotte,Mar,1,350,44,88.83248731,"52,724.00"
Citrus,Mar,1,337,134,71.54989384,"45,689.00"
Clay,Mar,1,469,108,81.28249567,"68,657.00"
Collier,Mar,1,817,111,88.0387931,"70,217.00"
Columbia,Mar,1,134,10,93.05555556,"44,818.00"
Desoto,Mar,1,49,3,94.23076923,"53,975.00"
Dixie,Mar,1,22,2,91.66666667,"36,360.00"
Duval,Mar,1,1705,1077,61.286844,"41,674.00"
Escambia,Mar,1,706,282,71.45748988,"56,769.00"
Flagler,Mar,1,282,54,83.92857143,"53,023.00"
Franklin,Mar,1,22,0,100,"57,536.00"
Gadsden,Mar,1,32,8,80,"48,814.00"
Gilchrist,Mar,1,28,1,96.55172414,"41,135.00"
Glades,Mar,1,27,2,93.10344828,"47,381.00"
Gulf,Mar,1,33,1,97.05882353,"39,709.00"
Hamilton,Mar,1,25,0,100,"50,640.00"
Hardee,Mar,1,30,2,93.75,"38,300.00"
Hendry,Mar,1,51,6,89.47368421,"40,165.00"
Hernando,Mar,1,368,80,82.14285714,"36,978.00"
Highlands,Mar,1,217,37,85.43307087,"50,280.00"
Hillsborough,Mar,1,2573,817,75.89970501,"43,708.00"
Holmes,Mar,1,33,1,97.05882353,"60,566.00"
Indian River,Mar,1,351,73,82.78301887,"39,215.00"
Jackson,Mar,1,64,18,78.04878049,"57,945.00"
Jefferson,Mar,1,19,3,86.36363636,"40,754.00"
Lafayette,Mar,1,5,0,100,"49,081.00"
Lake,Mar,1,717,168,81.01694915,"51,734.00"
Lee,Mar,1,1525,262,85.33855624,"55,792.00"
Leon,Mar,1,342,322,51.5060241,"59,608.00"
Levy,Mar,1,79,7,91.86046512,"54,675.00"
Liberty,Mar,1,7,2,77.77777778,"38,951.00"
Madison,Mar,1,8,6,57.14285714,"39,121.00"
Manatee,Mar,1,723,177,80.33333333,"35,240.00"
Marion,Mar,1,846,98,89.61864407,"59,963.00"
Martin,Mar,1,91,268,25.34818942,"46,587.00"
Miami-Dade,Mar,1,4475,1379,76.44345746,"65,821.00"
Monroe,Mar,1,233,28,89.27203065,"72,012.00"
Nassau,Mar,1,226,45,83.39483395,"72,998.00"
Okaloosa,Mar,1,566,122,82.26744186,"64,373.00"
Okeechobee,Mar,1,61,4,93.84615385,"46,097.00"
Orange,Mar,1,2578,1094,70.20697168,"61,416.00"
Osceola,Mar,1,794,460,63.31738437,"55,538.00"
Palm Beach,Mar,1,2524,1164,68.43817787,"65,015.00"
Pasco,Mar,1,1166,430,73.05764411,"53,431.00"
Pinellas,Mar,1,1797,650,73.43686146,"56,419.00"
Polk,Mar,1,1520,785,65.94360087,"51,535.00"
Putnam,Mar,1,136,37,78.61271676,"40,068.00"
Santa Rosa,Mar,1,436,43,91.02296451,"83,803.00"
Sarasota,Mar,1,878,156,84.91295938,"55,237.00"
Seminole,Mar,1,917,749,55.04201681,"70,663.00"
St. Johns,Mar,1,709,106,86.99386503,"64,644.00"
St. Lucie,Mar,1,760,137,84.72686734,"70,297.00"
Sumter,Mar,1,325,34,90.52924791,"59,618.00"
Suwannee,Mar,1,69,19,78.40909091,"46,280.00"
Taylor,Mar,1,31,7,81.57894737,"38,295.00"
Union,Mar,1,5,1,83.33333333,"55,139.00"
Volusia,Mar,1,999,502,66.55562958,"52,407.00"
Wakulla,Mar,1,51,9,85,"67,480.00"
Walton,Mar,1,193,2,98.97435897,"67,390.00"
Washington,Mar,1,55,2,96.49122807,"37,260.00"
,,,,,,
,,,,,,
